epoch,train_loss,test_rmse
1,10808453.0,3281.388671875
2,10795686.0,3275.390625
3,10756340.0,3261.291259765625
4,10664141.0,3233.592041015625
5,10484182.0,3184.873046875
6,10171387.0,3105.299560546875
7,9670713.0,2982.266845703125
8,8921506.0,2800.18310546875
9,7868200.0,2540.41748046875
10,6480144.0,2183.972412109375
11,4794777.5,1725.7181396484375
12,3000562.75,1252.79248046875
13,1587212.125,1232.567138671875
14,1528822.5,1754.654541015625
15,3079407.75,1871.958984375
16,3502496.25,1622.7684326171875
17,2634269.5,1268.4102783203125
18,1614042.75,1030.9580078125
19,1072066.625,1014.8059692382812
20,1042028.25,1126.134033203125
21,1282312.5,1241.4310302734375
22,1556348.125,1309.0172119140625
23,1729096.875,1317.7486572265625
24,1751845.125,1270.4111328125
25,1628643.25,1176.165283203125
26,1396900.0,1052.3509521484375
27,1119334.75,931.6295166015625
28,877716.625,864.596435546875
29,754823.4375,888.109375
30,793411.0625,971.85302734375
31,946856.75,1040.836181640625
32,1084220.875,1043.9248046875
33,1090332.625,981.479736328125
34,964579.25,893.6492919921875
35,801249.8125,830.5662841796875
36,694015.75,818.0607299804688
37,674760.3125,843.6668701171875
38,718310.0625,877.7020874023438
39,777468.625,897.5104370117188
40,812779.0625,893.7058715820312
41,805723.9375,867.9237670898438
42,759735.5,830.2096557617188
43,694866.75,796.2794189453125
44,638696.875,781.2481689453125
45,613968.4375,789.4763793945312
46,625988.5,809.7266235351562
47,657715.5625,823.783203125
48,680351.75,820.4065551757812
49,674810.5,802.0034790039062
50,645224.6875,780.8148803710938
51,612103.5,768.948974609375
52,594162.6875,770.0498657226562
53,596249.5,778.8477172851562
54,610158.125,787.0145874023438
55,623089.9375,788.784912109375
56,625881.375,783.2229614257812
57,617011.875,773.7073974609375
58,601970.625,765.6547241210938
59,589288.6875,763.1991577148438
60,585235.4375,766.4527587890625
61,589949.5,771.5682983398438
62,597632.5,773.8701782226562
63,601109.8125,771.3895263671875
64,597306.0625,765.9066162109375
65,588997.75,761.020263671875
66,581712.0625,759.2078247070312
67,579144.5,760.2935180664062
68,580954.5625,762.1801147460938
69,583930.75,762.7067260742188
70,584764.9375,761.0713500976562
71,582230.5,758.0925903320312
72,577600.8125,755.4215698242188
73,573414.9375,754.303466796875
74,571573.5,754.7156372070312
75,572061.5625,755.51123046875
76,573174.875,755.4276733398438
77,573021.75,754.0767822265625
78,571018.6875,752.1082763671875
79,568141.4375,750.533203125
80,565891.875,749.884521484375
81,565039.625,749.9138793945312
82,565184.0,749.9422607421875
83,565288.1875,749.4530639648438
84,564570.0625,748.4442749023438
85,563029.5625,747.3385009765625
86,561312.9375,746.5908203125
87,560117.125,746.3215942382812
88,559640.8125,746.260986328125
89,559497.8125,746.0108642578125
90,559105.5,745.3865966796875
91,558190.75,744.531494140625
92,556962.4375,743.7460327148438
93,555855.125,743.2161865234375
94,555129.5625,742.889404296875
95,554692.0,742.5662231445312
96,554236.0625,742.0923461914062
97,553528.9375,741.4769287109375
98,552586.9375,740.8545532226562
99,551618.0,740.3506469726562
100,550818.5625,739.9743041992188
101,550213.5,739.6220092773438
102,549658.75,739.1825561523438
103,548994.25,738.6314697265625
104,548184.375,738.0389404296875
105,547327.625,737.494384765625
106,546547.875,737.0289306640625
107,545881.9375,736.6033325195312
108,545264.625,736.1565551757812
109,544601.875,735.6647338867188
110,543858.75,735.1554565429688
111,543079.0625,734.6724853515625
112,542333.3125,734.2318725585938
113,541651.5625,733.8086547851562
114,541002.875,733.3639526367188
115,540333.5,732.8807983398438
116,539619.6875,732.375732421875
117,538883.125,731.87890625
118,538163.9375,731.4057006835938
119,537479.8125,730.94775390625
120,536814.0625,730.4869384765625
121,536137.3125,730.0152587890625
122,535437.8125,729.5401611328125
123,534727.75,729.0740356445312
124,534028.5625,728.62060546875
125,533348.75,728.1707763671875
126,532678.6875,727.7118530273438
127,532002.0,727.2396240234375
128,531312.3125,726.7603759765625
129,530617.3125,726.2841186523438
130,529929.625,725.8157348632812
131,529253.0,725.3519287109375
132,528581.0,724.8876953125
133,527904.6875,724.421630859375
134,527222.125,723.9564208984375
135,526538.3125,723.4957885742188
136,525860.6875,723.038330078125
137,525189.375,722.580078125
138,524519.8125,722.1177368164062
139,523848.15625,721.6510620117188
140,523174.03125,721.1832275390625
141,522501.03125,720.7180786132812
142,521832.59375,720.2559204101562
143,521167.6875,719.7963256835938
144,520504.71875,719.337646484375
145,519840.9375,718.8800048828125
146,519177.03125,718.4252319335938
147,518516.46875,717.97265625
148,517859.5,717.5209350585938
149,517205.25,717.068359375
150,516551.875,716.6146850585938
151,515899.15625,716.1614379882812
152,515248.8125,715.709716796875
153,514601.5,715.2605590820312
154,513958.03125,714.8154907226562
155,513319.6875,714.3727416992188
156,512683.5625,713.9317016601562
157,512048.90625,713.49267578125
158,511416.84375,713.055419921875
159,510787.65625,712.620361328125
